"source_id","nombre","categoria","marca","modelo","descripcion","precio","stock","imagen_url","activo"
"ZT-INV-2DB27A6BED17C814878C","CABLE VIDVIE C-C 100W B4013","VIDVIE","","","","30000","10","","1"
"ZT-INV-A648764994E9011F9B9C","CABLE VIDVIE C-C 60W 4031 BL","VIDVIE","","","","25000","8","","1"
"ZT-INV-7C1E9FE53985045B0CBD","CABLE VIDVIE C-C 60W 4031 N","VIDVIE","","","","25000","2","","1"
"ZT-INV-752BE4F99DF647CAD9D9","CABLE VIDVIE C-C 60W B04T","VIDVIE","","","","25000","12","","1"
"ZT-INV-7BA451B1E5A44AC55B52","CABLE VIDVIE C-C 60W B08","VIDVIE","","","","25000","8","","1"
"ZT-INV-57C11CC9EF3534BC5810","CABLE VIDVIE C-C B09","VIDVIE","","","","25000","9","","1"
"ZT-INV-292ACC0D95877C4DB403","CABLE VIDVIE C-IP 30W 4031","VIDVIE","","","","25000","8","","1"
"ZT-INV-EE3D322F64F79402ADBB","CABLE VIDVIE C-IP 30W CB4013","VIDVIE","","","","30000","6","","1"
"ZT-INV-4D5A9C292D6F1B94619A","CABLE VIDVIE USB C 4024T","VIDVIE","","","","30000","2","","1"
"ZT-INV-FF2A8B76CB7CD4DED9C7","CABLE VIDVIE USB-C 4024T","VIDVIE","","","","30000","1","","1"
"ZT-INV-C7134FE1AE0FE6A8BB57","CABLE VIDVIE USB-C B03T","VIDVIE","","","","20000","10","","1"
"ZT-INV-43B68E849C1D653BC375","CABLE VIDVIE USB-C BT10","VIDVIE","","","","20000","9","","1"
"ZT-INV-91C3BE3881C9E734A5DB","CABLE VIDVIE USB-IP B11","VIDVIE","","","","20000","8","","1"
"ZT-INV-D76D68DC04283206E2E2","CABLE VIDVIE USB-V8","VIDVIE","","","","15000","8","","1"
"ZT-INV-CF4403E74CC2DA40F52C","CAMARA EPIK PIXIO","EPIK","","","","120000","6","","1"
"ZT-INV-52243A0B2B9F49D0C930","CAMARA WEB 1080 CAJA CAFE","ACCESORIOS","","","","75000","4","","1"
"ZT-INV-ED63C9C7B5C48B054F3C","CAR CARRO VIDVIE 20W C522","VIDVIE","","","","55000","0","","1"
"ZT-INV-64042045E3F643B9932E","CAR CARRO VIDVIE 30W C04","VIDVIE","","","","38000","0","","1"
"ZT-INV-B10518BC0CA0BF447388","CAR CARRO VIDVIE 30W C531","VIDVIE","","","","55000","0","","1"
"ZT-INV-99C4B8CEF5C1A65FA25D","CAR CARRO VIDVIE USB-IP 528","VIDVIE","","","","20000","4","","1"
"ZT-INV-B336378B11FA1FE6E8EB","CARGADOR ASPOR  C A IPH","CARGADORES","","","","50000","4","","1"
"ZT-INV-802C9121ED4FD21C8977","CARGADOR CARRO EPIK FMOTION","EPIK","","","","45000","3","","1"
"ZT-INV-F79DC3B448CAC0707061","CARGADOR CARRO MOVISUN C-C 25W CM-20","MOVISUN","","","","48000","5","","1"
"ZT-INV-74ACA370C1B36C0712CA","CARGADOR EPIK 20 C A C","EPIK","","","","40000","3","","1"
"ZT-INV-74025E6FFA580AD44291","CARGADOR EPIK 20W C A LIGHTIHING","EPIK","","","","40000","12","","1"
"ZT-INV-883683D992A3C9BEF263","CARGADOR EPIK C C 45W","EPIK","","","","95000","3","","1"
"ZT-INV-251E7D1D30770E1CFC22","CARGADOR MAGNETIC VIDVIE 3W C1411","VIDVIE","","","","45000","1","","1"
"ZT-INV-DFAABB6B19338AA2FC4D","CARGADOR MOVISUN C-C 25W MPD88","MOVISUN","","","","50000","12","","1"
"ZT-INV-3EFD7A94C77F1204632F","CARGADOR MOVISUN C-C 33W M-33UC","MOVISUN","","","","65000","6","","1"
"ZT-INV-F101CE5A75968A7EF027","CARGADOR MOVISUN C-C 35W MPD35","MOVISUN","","","","65000","5","","1"
"ZT-INV-08619F177BEA9C6C7A7C","CARGADOR MOVISUN C-C MIP-60 60W","MOVISUN","","","","85000","5","","1"
"ZT-INV-C7F0AAA7BBFBFD960419","CARGADOR MOVISUN C-C MS 45C","MOVISUN","","","","75000","5","","1"
